date,City Hall,Exchange Place,Hamilton Park,Sip Ave_x,Christ Hospital,Baldwin at Montgomery,Warren St,Newport PATH,Newark Ave,Brunswick St,Newport Pkwy,Bayside Park,Grove St PATH,Riverview Park,Essex Light Rail,Paulus Hook,Columbia Park,Heights Elevator,NJCU,MLK Light Rail,5 Corners Library,Dey St,Oakland Ave,Hilltop,Van Vorst Park,McGinley Square,Central Ave,JC Medical Center,North St,Lincoln Park,Liberty Light Rail,West Side Light Rail,Pershing Field,Garfield Ave Station,Union St,Jersey & 6th St,Morris Canal,Jersey & 3rd,Lafayette Park,Monmouth and 6th,Dixon Mills,Marin Light Rail,Manila & 1st,Columbus Drive,Bethune Center,Leonard Gordon Park,Danforth Light Rail,Brunswick & 6th,Astor Place,JCBS Depot,Communipaw & Berry Lane,York St,Harborside,Washington St,Journal Square,Montgomery St,Glenwood Ave,Fairmount Ave,Bergen Ave,Grand St,Jackson Square,Sip Ave_y,Hoboken Ave at Monmouth St,Columbus Dr at Exchange Pl
2015-10-11,22.0,55.0,44.0,28.0,8.0,14.0,30.0,43.0,40.0,17.0,55.0,0.0,61.0,11.0,35.0,43.0,3.0,11.0,0.0,0.0,1.0,8.0,8.0,7.0,22.0,15.0,3.0,33.0,0.0,10.0,33.0,2.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
2015-10-12,26.0,68.0,51.0,45.0,16.0,11.0,27.0,52.0,35.0,35.0,43.0,0.0,69.0,8.0,38.0,20.0,0.0,10.0,5.0,0.0,9.0,10.0,9.0,10.0,35.0,21.0,5.0,23.0,6.0,11.0,28.0,4.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
2015-10-13,29.0,68.0,61.0,48.0,9.0,14.0,35.0,50.0,30.0,31.0,27.0,0.0,105.0,5.0,32.0,27.0,1.0,10.0,4.0,0.0,9.0,12.0,12.0,8.0,33.0,26.0,6.0,12.0,2.0,8.0,7.0,4.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
2015-10-14,21.0,78.0,47.0,43.0,11.0,10.0,23.0,52.0,36.0,34.0,27.0,1.0,112.0,12.0,35.0,29.0,0.0,6.0,3.0,3.0,8.0,5.0,8.0,13.0,36.0,17.0,1.0,15.0,0.0,16.0,13.0,1.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
2015-10-15,32.0,64.0,66.0,50.0,12.0,13.0,24.0,59.0,27.0,46.0,31.0,0.0,94.0,8.0,36.0,26.0,2.0,6.0,3.0,2.0,6.0,8.0,11.0,12.0,34.0,20.0,6.0,19.0,0.0,11.0,16.0,4.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2015-10-16,21.0,59.0,64.0,44.0,12.0,10.0,35.0,43.0,24.0,44.0,31.0,0.0,80.0,8.0,39.0,29.0,1.0,2.0,1.0,1.0,6.0,8.0,12.0,14.0,34.0,16.0,5.0,19.0,0.0,9.0,9.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
2015-10-17,20.0,39.0,30.0,21.0,6.0,18.0,35.0,31.0,28.0,18.0,28.0,3.0,56.0,7.0,27.0,10.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,7.0,40.0,8.0,2.0,23.0,0.0,10.0,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
2015-10-18,13.0,21.0,18.0,23.0,8.0,10.0,17.0,21.0,19.0,14.0,23.0,2.0,46.0,2.0,28.0,15.0,2.0,4.0,2.0,0.0,4.0,9.0,5.0,7.0,21.0,5.0,4.0,9.0,0.0,4.0,10.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
2015-10-19,23.0,54.0,39.0,44.0,4.0,9.0,27.0,39.0,21.0,33.0,22.0,0.0,85.0,4.0,31.0,20.0,2.0,5.0,5.0,0.0,9.0,4.0,9.0,11.0,23.0,13.0,3.0,7.0,0.0,8.0,9.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
2015-10-20,27.0,58.0,51.0,40.0,10.0,11.0,33.0,48.0,28.0,45.0,24.0,0.0,88.0,6.0,27.0,17.0,1.0,11.0,6.0,0.0,9.0,6.0,13.0,14.0,28.0,18.0,6.0,12.0,0.0,11.0,15.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
