,year,st1,st2
8284,2019,5 Corners Library,12 Ave & W 40 St
8285,2019,5 Corners Library,5 Corners Library
8286,2019,5 Corners Library,Astor Place
8287,2019,5 Corners Library,Baldwin at Montgomery
8288,2019,5 Corners Library,Bergen Ave
8289,2019,5 Corners Library,Brunswick & 6th
8290,2019,5 Corners Library,Brunswick St
8291,2019,5 Corners Library,Christ Hospital
8292,2019,5 Corners Library,City Hall
8293,2019,5 Corners Library,Columbus Dr at Exchange Pl
8294,2019,5 Corners Library,Columbus Drive
8295,2019,5 Corners Library,Communipaw & Berry Lane
8296,2019,5 Corners Library,Dey St
8297,2019,5 Corners Library,Dixon Mills
8298,2019,5 Corners Library,Essex Light Rail
8299,2019,5 Corners Library,Exchange Place
8300,2019,5 Corners Library,Fairmount Ave
8301,2019,5 Corners Library,Glenwood Ave
8302,2019,5 Corners Library,Grand St
8303,2019,5 Corners Library,Grove St PATH
8304,2019,5 Corners Library,Hamilton Park
8305,2019,5 Corners Library,Harborside
8306,2019,5 Corners Library,Heights Elevator
8307,2019,5 Corners Library,Hilltop
8308,2019,5 Corners Library,Hoboken Ave at Monmouth St
8309,2019,5 Corners Library,JC Medical Center
8310,2019,5 Corners Library,JCBS Depot
8311,2019,5 Corners Library,Jackson Square
8312,2019,5 Corners Library,Jersey & 3rd
8313,2019,5 Corners Library,Jersey & 6th St
8314,2019,5 Corners Library,Journal Square
8315,2019,5 Corners Library,Lafayette Park
8316,2019,5 Corners Library,Leonard Gordon Park
8317,2019,5 Corners Library,Liberty Light Rail
8318,2019,5 Corners Library,Lincoln Park
8319,2019,5 Corners Library,Manila & 1st
8320,2019,5 Corners Library,Marin Light Rail
8321,2019,5 Corners Library,McGinley Square
8322,2019,5 Corners Library,Monmouth and 6th
8323,2019,5 Corners Library,Montgomery St
8324,2019,5 Corners Library,Morris Canal
8325,2019,5 Corners Library,Newark Ave
8326,2019,5 Corners Library,Newport PATH
8327,2019,5 Corners Library,Newport Pkwy
8328,2019,5 Corners Library,Oakland Ave
8329,2019,5 Corners Library,Paulus Hook
8330,2019,5 Corners Library,Pershing Field
8331,2019,5 Corners Library,Riverview Park
8332,2019,5 Corners Library,Sip Ave
8333,2019,5 Corners Library,Union St
8334,2019,5 Corners Library,Van Vorst Park
8335,2019,5 Corners Library,Warren St
8336,2019,5 Corners Library,Washington St
8337,2019,5 Corners Library,York St
8338,2019,Astor Place,5 Corners Library
8339,2019,Astor Place,Astor Place
8340,2019,Astor Place,Baldwin at Montgomery
8341,2019,Astor Place,Bergen Ave
8342,2019,Astor Place,Brunswick & 6th
8343,2019,Astor Place,Brunswick St
8344,2019,Astor Place,City Hall
8345,2019,Astor Place,Columbus Dr at Exchange Pl
8346,2019,Astor Place,Columbus Drive
8347,2019,Astor Place,Communipaw & Berry Lane
8348,2019,Astor Place,Dey St
8349,2019,Astor Place,Dixon Mills
8350,2019,Astor Place,Essex Light Rail
8351,2019,Astor Place,Exchange Place
8352,2019,Astor Place,Fairmount Ave
8353,2019,Astor Place,Glenwood Ave
8354,2019,Astor Place,Grand St
8355,2019,Astor Place,Grove St PATH
8356,2019,Astor Place,Hamilton Park
8357,2019,Astor Place,Harborside
8358,2019,Astor Place,Heights Elevator
8359,2019,Astor Place,Hilltop
8360,2019,Astor Place,JC Medical Center
8361,2019,Astor Place,JCBS Depot
8362,2019,Astor Place,Jackson Square
8363,2019,Astor Place,Jersey & 3rd
8364,2019,Astor Place,Jersey & 6th St
8365,2019,Astor Place,Journal Square
8366,2019,Astor Place,Lafayette Park
8367,2019,Astor Place,Leonard Gordon Park
8368,2019,Astor Place,Liberty Light Rail
8369,2019,Astor Place,Lincoln Park
8370,2019,Astor Place,Manila & 1st
8371,2019,Astor Place,Marin Light Rail
8372,2019,Astor Place,McGinley Square
8373,2019,Astor Place,Monmouth and 6th
8374,2019,Astor Place,Montgomery St
8375,2019,Astor Place,Morris Canal
8376,2019,Astor Place,Newark Ave
8377,2019,Astor Place,Newport PATH
8378,2019,Astor Place,Newport Pkwy
8379,2019,Astor Place,Oakland Ave
8380,2019,Astor Place,Paulus Hook
8381,2019,Astor Place,Pershing Field
8382,2019,Astor Place,Riverview Park
8383,2019,Astor Place,Sip Ave
8384,2019,Astor Place,Union St
8385,2019,Astor Place,Van Vorst Park
8386,2019,Astor Place,Warren St
8387,2019,Astor Place,Washington St
8388,2019,Astor Place,York St
8389,2019,Baldwin at Montgomery,5 Corners Library
8390,2019,Baldwin at Montgomery,Astor Place
8391,2019,Baldwin at Montgomery,Baldwin at Montgomery
8392,2019,Baldwin at Montgomery,Bergen Ave
8393,2019,Baldwin at Montgomery,Brunswick & 6th
8394,2019,Baldwin at Montgomery,Brunswick St
8395,2019,Baldwin at Montgomery,Christ Hospital
8396,2019,Baldwin at Montgomery,City Hall
8397,2019,Baldwin at Montgomery,Columbus Dr at Exchange Pl
8398,2019,Baldwin at Montgomery,Columbus Drive
8399,2019,Baldwin at Montgomery,Communipaw & Berry Lane
8400,2019,Baldwin at Montgomery,Dey St
8401,2019,Baldwin at Montgomery,Dixon Mills
8402,2019,Baldwin at Montgomery,Essex Light Rail
8403,2019,Baldwin at Montgomery,Exchange Place
8404,2019,Baldwin at Montgomery,Fairmount Ave
8405,2019,Baldwin at Montgomery,Glenwood Ave
8406,2019,Baldwin at Montgomery,Grand St
8407,2019,Baldwin at Montgomery,Grove St PATH
8408,2019,Baldwin at Montgomery,Hamilton Park
8409,2019,Baldwin at Montgomery,Harborside
8410,2019,Baldwin at Montgomery,Heights Elevator
8411,2019,Baldwin at Montgomery,Hilltop
8412,2019,Baldwin at Montgomery,Hoboken Ave at Monmouth St
8413,2019,Baldwin at Montgomery,JC Medical Center
8414,2019,Baldwin at Montgomery,Jackson Square
8415,2019,Baldwin at Montgomery,Jersey & 3rd
8416,2019,Baldwin at Montgomery,Jersey & 6th St
8417,2019,Baldwin at Montgomery,Journal Square
8418,2019,Baldwin at Montgomery,Lafayette Park
8419,2019,Baldwin at Montgomery,Leonard Gordon Park
8420,2019,Baldwin at Montgomery,Liberty Light Rail
8421,2019,Baldwin at Montgomery,Lincoln Park
8422,2019,Baldwin at Montgomery,Manila & 1st
8423,2019,Baldwin at Montgomery,Marin Light Rail
8424,2019,Baldwin at Montgomery,McGinley Square
8425,2019,Baldwin at Montgomery,Monmouth and 6th
8426,2019,Baldwin at Montgomery,Montgomery St
8427,2019,Baldwin at Montgomery,Morris Canal
8428,2019,Baldwin at Montgomery,Newark Ave
8429,2019,Baldwin at Montgomery,Newport PATH
8430,2019,Baldwin at Montgomery,Newport Pkwy
8431,2019,Baldwin at Montgomery,Oakland Ave
8432,2019,Baldwin at Montgomery,Paulus Hook
8433,2019,Baldwin at Montgomery,Pershing Field
8434,2019,Baldwin at Montgomery,Riverview Park
8435,2019,Baldwin at Montgomery,Sip Ave
8436,2019,Baldwin at Montgomery,Union St
8437,2019,Baldwin at Montgomery,Van Vorst Park
8438,2019,Baldwin at Montgomery,Warren St
8439,2019,Baldwin at Montgomery,Washington St
8440,2019,Baldwin at Montgomery,York St
8441,2019,Bergen Ave,5 Corners Library
8442,2019,Bergen Ave,Amsterdam Ave & W 125 St
8443,2019,Bergen Ave,Astor Place
8444,2019,Bergen Ave,Baldwin at Montgomery
8445,2019,Bergen Ave,Bergen Ave
8446,2019,Bergen Ave,Brunswick & 6th
8447,2019,Bergen Ave,Brunswick St
8448,2019,Bergen Ave,Christ Hospital
8449,2019,Bergen Ave,City Hall
8450,2019,Bergen Ave,Columbus Dr at Exchange Pl
8451,2019,Bergen Ave,Columbus Drive
8452,2019,Bergen Ave,Communipaw & Berry Lane
8453,2019,Bergen Ave,Dey St
8454,2019,Bergen Ave,Dixon Mills
8455,2019,Bergen Ave,Essex Light Rail
8456,2019,Bergen Ave,Exchange Place
8457,2019,Bergen Ave,Fairmount Ave
8458,2019,Bergen Ave,Glenwood Ave
8459,2019,Bergen Ave,Grand St
8460,2019,Bergen Ave,Grove St PATH
8461,2019,Bergen Ave,Hamilton Park
8462,2019,Bergen Ave,Harborside
8463,2019,Bergen Ave,Heights Elevator
8464,2019,Bergen Ave,Hilltop
8465,2019,Bergen Ave,JC Medical Center
8466,2019,Bergen Ave,Jackson Square
8467,2019,Bergen Ave,Jersey & 3rd
8468,2019,Bergen Ave,Jersey & 6th St
8469,2019,Bergen Ave,Journal Square
8470,2019,Bergen Ave,Lafayette Park
8471,2019,Bergen Ave,Leonard Gordon Park
8472,2019,Bergen Ave,Liberty Light Rail
8473,2019,Bergen Ave,Lincoln Park
8474,2019,Bergen Ave,Manila & 1st
8475,2019,Bergen Ave,Marin Light Rail
8476,2019,Bergen Ave,McGinley Square
8477,2019,Bergen Ave,Monmouth and 6th
8478,2019,Bergen Ave,Montgomery St
8479,2019,Bergen Ave,Morris Canal
8480,2019,Bergen Ave,Newark Ave
8481,2019,Bergen Ave,Newport PATH
8482,2019,Bergen Ave,Newport Pkwy
8483,2019,Bergen Ave,Oakland Ave
8484,2019,Bergen Ave,Paulus Hook
8485,2019,Bergen Ave,Pershing Field
8486,2019,Bergen Ave,Riverview Park
8487,2019,Bergen Ave,Sip Ave
8488,2019,Bergen Ave,Union St
8489,2019,Bergen Ave,Van Vorst Park
8490,2019,Bergen Ave,W 27 St & 7 Ave
8491,2019,Bergen Ave,Warren St
8492,2019,Bergen Ave,Washington St
8493,2019,Bergen Ave,York St
8494,2019,Brunswick & 6th,12 Ave & W 40 St
8495,2019,Brunswick & 6th,5 Corners Library
8496,2019,Brunswick & 6th,Astor Place
8497,2019,Brunswick & 6th,Baldwin at Montgomery
8498,2019,Brunswick & 6th,Bergen Ave
8499,2019,Brunswick & 6th,Brunswick & 6th
8500,2019,Brunswick & 6th,Brunswick St
8501,2019,Brunswick & 6th,Christ Hospital
8502,2019,Brunswick & 6th,City Hall
8503,2019,Brunswick & 6th,Columbus Dr at Exchange Pl
8504,2019,Brunswick & 6th,Columbus Drive
8505,2019,Brunswick & 6th,Communipaw & Berry Lane
8506,2019,Brunswick & 6th,Dey St
8507,2019,Brunswick & 6th,Dixon Mills
8508,2019,Brunswick & 6th,Essex Light Rail
8509,2019,Brunswick & 6th,Exchange Place
8510,2019,Brunswick & 6th,Fairmount Ave
8511,2019,Brunswick & 6th,Glenwood Ave
8512,2019,Brunswick & 6th,Grand St
8513,2019,Brunswick & 6th,Grove St PATH
8514,2019,Brunswick & 6th,Hamilton Park
8515,2019,Brunswick & 6th,Harborside
8516,2019,Brunswick & 6th,Heights Elevator
8517,2019,Brunswick & 6th,Hilltop
8518,2019,Brunswick & 6th,Hoboken Ave at Monmouth St
8519,2019,Brunswick & 6th,JC Medical Center
8520,2019,Brunswick & 6th,JCBS Depot
8521,2019,Brunswick & 6th,Jersey & 3rd
8522,2019,Brunswick & 6th,Jersey & 6th St
8523,2019,Brunswick & 6th,Journal Square
8524,2019,Brunswick & 6th,Lafayette Park
8525,2019,Brunswick & 6th,Leonard Gordon Park
8526,2019,Brunswick & 6th,Liberty Light Rail
8527,2019,Brunswick & 6th,Lincoln Park
8528,2019,Brunswick & 6th,Manila & 1st
8529,2019,Brunswick & 6th,Marin Light Rail
8530,2019,Brunswick & 6th,McGinley Square
8531,2019,Brunswick & 6th,Monmouth and 6th
8532,2019,Brunswick & 6th,Montgomery St
8533,2019,Brunswick & 6th,Morris Canal
8534,2019,Brunswick & 6th,Newark Ave
8535,2019,Brunswick & 6th,Newport PATH
8536,2019,Brunswick & 6th,Newport Pkwy
8537,2019,Brunswick & 6th,Oakland Ave
8538,2019,Brunswick & 6th,Paulus Hook
8539,2019,Brunswick & 6th,Pershing Field
8540,2019,Brunswick & 6th,Riverview Park
8541,2019,Brunswick & 6th,Sip Ave
8542,2019,Brunswick & 6th,Union St
8543,2019,Brunswick & 6th,Van Vorst Park
8544,2019,Brunswick & 6th,Warren St
8545,2019,Brunswick & 6th,Washington St
8546,2019,Brunswick & 6th,York St
8547,2019,Brunswick St,5 Corners Library
8548,2019,Brunswick St,Astor Place
8549,2019,Brunswick St,Baldwin at Montgomery
8550,2019,Brunswick St,Bergen Ave
8551,2019,Brunswick St,Brunswick & 6th
8552,2019,Brunswick St,Brunswick St
8553,2019,Brunswick St,Christ Hospital
8554,2019,Brunswick St,City Hall
8555,2019,Brunswick St,Columbus Dr at Exchange Pl
8556,2019,Brunswick St,Columbus Drive
8557,2019,Brunswick St,Communipaw & Berry Lane
8558,2019,Brunswick St,Dey St
8559,2019,Brunswick St,Dixon Mills
8560,2019,Brunswick St,E 33 St & 5 Ave
8561,2019,Brunswick St,Essex Light Rail
8562,2019,Brunswick St,Exchange Place
8563,2019,Brunswick St,Fairmount Ave
8564,2019,Brunswick St,Glenwood Ave
8565,2019,Brunswick St,Grand St
8566,2019,Brunswick St,Grove St PATH
8567,2019,Brunswick St,Hamilton Park
8568,2019,Brunswick St,Harborside
8569,2019,Brunswick St,Heights Elevator
8570,2019,Brunswick St,Hilltop
8571,2019,Brunswick St,Hoboken Ave at Monmouth St
8572,2019,Brunswick St,JC Medical Center
8573,2019,Brunswick St,Jackson Square
8574,2019,Brunswick St,Jersey & 3rd
8575,2019,Brunswick St,Jersey & 6th St
8576,2019,Brunswick St,Journal Square
8577,2019,Brunswick St,Lafayette Park
8578,2019,Brunswick St,Leonard Gordon Park
8579,2019,Brunswick St,Liberty Light Rail
8580,2019,Brunswick St,Lincoln Park
8581,2019,Brunswick St,Manila & 1st
8582,2019,Brunswick St,Marin Light Rail
8583,2019,Brunswick St,McGinley Square
8584,2019,Brunswick St,Monmouth and 6th
8585,2019,Brunswick St,Montgomery St
8586,2019,Brunswick St,Morris Canal
8587,2019,Brunswick St,Newark Ave
8588,2019,Brunswick St,Newport PATH
8589,2019,Brunswick St,Newport Pkwy
8590,2019,Brunswick St,Oakland Ave
8591,2019,Brunswick St,Paulus Hook
8592,2019,Brunswick St,Pershing Field
8593,2019,Brunswick St,Riverview Park
8594,2019,Brunswick St,Sip Ave
8595,2019,Brunswick St,Union St
8596,2019,Brunswick St,Van Vorst Park
8597,2019,Brunswick St,Warren St
8598,2019,Brunswick St,Washington St
8599,2019,Brunswick St,York St
8600,2019,Christ Hospital,5 Corners Library
8601,2019,Christ Hospital,Baldwin at Montgomery
8602,2019,Christ Hospital,Bergen Ave
8603,2019,Christ Hospital,Brunswick & 6th
8604,2019,Christ Hospital,Brunswick St
8605,2019,Christ Hospital,Christ Hospital
8606,2019,Christ Hospital,City Hall
8607,2019,Christ Hospital,Columbus Dr at Exchange Pl
8608,2019,Christ Hospital,Columbus Drive
8609,2019,Christ Hospital,Communipaw & Berry Lane
8610,2019,Christ Hospital,Dey St
8611,2019,Christ Hospital,Dixon Mills
8612,2019,Christ Hospital,Essex Light Rail
8613,2019,Christ Hospital,Exchange Place
8614,2019,Christ Hospital,Fairmount Ave
8615,2019,Christ Hospital,Glenwood Ave
8616,2019,Christ Hospital,Grand St
8617,2019,Christ Hospital,Grove St PATH
8618,2019,Christ Hospital,Hamilton Park
8619,2019,Christ Hospital,Harborside
8620,2019,Christ Hospital,Heights Elevator
8621,2019,Christ Hospital,Hilltop
8622,2019,Christ Hospital,Hoboken Ave at Monmouth St
8623,2019,Christ Hospital,JC Medical Center
8624,2019,Christ Hospital,Jackson Square
8625,2019,Christ Hospital,Jersey & 3rd
8626,2019,Christ Hospital,Jersey & 6th St
8627,2019,Christ Hospital,Journal Square
8628,2019,Christ Hospital,Lafayette Park
8629,2019,Christ Hospital,Leonard Gordon Park
8630,2019,Christ Hospital,Liberty Light Rail
8631,2019,Christ Hospital,Lincoln Park
8632,2019,Christ Hospital,Manila & 1st
8633,2019,Christ Hospital,Marin Light Rail
8634,2019,Christ Hospital,McGinley Square
8635,2019,Christ Hospital,Monmouth and 6th
8636,2019,Christ Hospital,Montgomery St
8637,2019,Christ Hospital,Morris Canal
8638,2019,Christ Hospital,Newark Ave
8639,2019,Christ Hospital,Newport PATH
8640,2019,Christ Hospital,Newport Pkwy
8641,2019,Christ Hospital,Oakland Ave
8642,2019,Christ Hospital,Paulus Hook
8643,2019,Christ Hospital,Pershing Field
8644,2019,Christ Hospital,Riverview Park
8645,2019,Christ Hospital,Sip Ave
8646,2019,Christ Hospital,Union St
8647,2019,Christ Hospital,Van Vorst Park
8648,2019,Christ Hospital,Warren St
8649,2019,Christ Hospital,Washington St
8650,2019,Christ Hospital,York St
8651,2019,City Hall,5 Corners Library
8652,2019,City Hall,8 Ave & W 52 St
8653,2019,City Hall,Amsterdam Ave & W 73 St
8654,2019,City Hall,Astor Place
8655,2019,City Hall,Baldwin at Montgomery
8656,2019,City Hall,Bergen Ave
8657,2019,City Hall,Brunswick & 6th
8658,2019,City Hall,Brunswick St
8659,2019,City Hall,Christ Hospital
8660,2019,City Hall,City Hall
8661,2019,City Hall,Columbus Dr at Exchange Pl
8662,2019,City Hall,Columbus Drive
8663,2019,City Hall,Communipaw & Berry Lane
8664,2019,City Hall,Dey St
8665,2019,City Hall,Dixon Mills
8666,2019,City Hall,Essex Light Rail
8667,2019,City Hall,Exchange Place
8668,2019,City Hall,Fairmount Ave
8669,2019,City Hall,Glenwood Ave
8670,2019,City Hall,Grand St
8671,2019,City Hall,Grove St PATH
8672,2019,City Hall,Hamilton Park
8673,2019,City Hall,Harborside
8674,2019,City Hall,Heights Elevator
8675,2019,City Hall,Hilltop
8676,2019,City Hall,Hoboken Ave at Monmouth St
8677,2019,City Hall,JC Medical Center
8678,2019,City Hall,JCBS Depot
8679,2019,City Hall,Jackson Square
8680,2019,City Hall,Jersey & 3rd
8681,2019,City Hall,Jersey & 6th St
8682,2019,City Hall,Journal Square
8683,2019,City Hall,Lafayette Park
8684,2019,City Hall,Leonard Gordon Park
8685,2019,City Hall,Liberty Light Rail
8686,2019,City Hall,Lincoln Park
8687,2019,City Hall,Manila & 1st
8688,2019,City Hall,Marin Light Rail
8689,2019,City Hall,McGinley Square
8690,2019,City Hall,Monmouth and 6th
8691,2019,City Hall,Montgomery St
8692,2019,City Hall,Morris Canal
8693,2019,City Hall,Newark Ave
8694,2019,City Hall,Newport PATH
8695,2019,City Hall,Newport Pkwy
8696,2019,City Hall,North Moore St & Greenwich St
8697,2019,City Hall,Oakland Ave
8698,2019,City Hall,Paulus Hook
8699,2019,City Hall,Pershing Field
8700,2019,City Hall,Riverview Park
8701,2019,City Hall,Sip Ave
8702,2019,City Hall,South End Ave & Liberty St
8703,2019,City Hall,Union St
8704,2019,City Hall,Van Vorst Park
8705,2019,City Hall,Warren St
8706,2019,City Hall,Washington St
8707,2019,City Hall,York St
8708,2019,Columbus Dr at Exchange Pl,5 Corners Library
8709,2019,Columbus Dr at Exchange Pl,Astor Place
8710,2019,Columbus Dr at Exchange Pl,Baldwin at Montgomery
8711,2019,Columbus Dr at Exchange Pl,Bergen Ave
8712,2019,Columbus Dr at Exchange Pl,Brunswick & 6th
8713,2019,Columbus Dr at Exchange Pl,Brunswick St
8714,2019,Columbus Dr at Exchange Pl,Christ Hospital
8715,2019,Columbus Dr at Exchange Pl,City Hall
8716,2019,Columbus Dr at Exchange Pl,Columbus Dr at Exchange Pl
8717,2019,Columbus Dr at Exchange Pl,Columbus Drive
8718,2019,Columbus Dr at Exchange Pl,Communipaw & Berry Lane
8719,2019,Columbus Dr at Exchange Pl,Dey St
8720,2019,Columbus Dr at Exchange Pl,Dixon Mills
8721,2019,Columbus Dr at Exchange Pl,Essex Light Rail
8722,2019,Columbus Dr at Exchange Pl,Fairmount Ave
8723,2019,Columbus Dr at Exchange Pl,Glenwood Ave
8724,2019,Columbus Dr at Exchange Pl,Grand St
8725,2019,Columbus Dr at Exchange Pl,Grove St PATH
8726,2019,Columbus Dr at Exchange Pl,Hamilton Park
8727,2019,Columbus Dr at Exchange Pl,Harborside
8728,2019,Columbus Dr at Exchange Pl,Heights Elevator
8729,2019,Columbus Dr at Exchange Pl,Hilltop
8730,2019,Columbus Dr at Exchange Pl,Hoboken Ave at Monmouth St
8731,2019,Columbus Dr at Exchange Pl,Howard St & Centre St
8732,2019,Columbus Dr at Exchange Pl,JC Medical Center
8733,2019,Columbus Dr at Exchange Pl,JCBS Depot
8734,2019,Columbus Dr at Exchange Pl,Jackson Square
8735,2019,Columbus Dr at Exchange Pl,Jersey & 3rd
8736,2019,Columbus Dr at Exchange Pl,Jersey & 6th St
8737,2019,Columbus Dr at Exchange Pl,Journal Square
8738,2019,Columbus Dr at Exchange Pl,Lafayette Park
8739,2019,Columbus Dr at Exchange Pl,Leonard Gordon Park
8740,2019,Columbus Dr at Exchange Pl,Liberty Light Rail
8741,2019,Columbus Dr at Exchange Pl,Lincoln Park
8742,2019,Columbus Dr at Exchange Pl,Manila & 1st
8743,2019,Columbus Dr at Exchange Pl,Marin Light Rail
8744,2019,Columbus Dr at Exchange Pl,McGinley Square
8745,2019,Columbus Dr at Exchange Pl,Monmouth and 6th
8746,2019,Columbus Dr at Exchange Pl,Montgomery St
8747,2019,Columbus Dr at Exchange Pl,Morris Canal
8748,2019,Columbus Dr at Exchange Pl,Newark Ave
8749,2019,Columbus Dr at Exchange Pl,Newport PATH
8750,2019,Columbus Dr at Exchange Pl,Newport Pkwy
8751,2019,Columbus Dr at Exchange Pl,Oakland Ave
8752,2019,Columbus Dr at Exchange Pl,Paulus Hook
8753,2019,Columbus Dr at Exchange Pl,Pershing Field
8754,2019,Columbus Dr at Exchange Pl,Riverview Park
8755,2019,Columbus Dr at Exchange Pl,Sip Ave
8756,2019,Columbus Dr at Exchange Pl,Union St
8757,2019,Columbus Dr at Exchange Pl,Van Vorst Park
8758,2019,Columbus Dr at Exchange Pl,Warren St
8759,2019,Columbus Dr at Exchange Pl,Washington St
8760,2019,Columbus Dr at Exchange Pl,York St
8761,2019,Columbus Drive,5 Corners Library
8762,2019,Columbus Drive,Astor Place
8763,2019,Columbus Drive,Baldwin at Montgomery
8764,2019,Columbus Drive,Bergen Ave
8765,2019,Columbus Drive,Brunswick & 6th
8766,2019,Columbus Drive,Brunswick St
8767,2019,Columbus Drive,Christ Hospital
8768,2019,Columbus Drive,City Hall
8769,2019,Columbus Drive,Columbus Dr at Exchange Pl
8770,2019,Columbus Drive,Columbus Drive
8771,2019,Columbus Drive,Communipaw & Berry Lane
8772,2019,Columbus Drive,Dey St
8773,2019,Columbus Drive,Dixon Mills
8774,2019,Columbus Drive,Essex Light Rail
8775,2019,Columbus Drive,Exchange Place
8776,2019,Columbus Drive,Fairmount Ave
8777,2019,Columbus Drive,Glenwood Ave
8778,2019,Columbus Drive,Grand St
8779,2019,Columbus Drive,Grove St PATH
8780,2019,Columbus Drive,Hamilton Park
8781,2019,Columbus Drive,Harborside
8782,2019,Columbus Drive,Heights Elevator
8783,2019,Columbus Drive,Hilltop
8784,2019,Columbus Drive,Hoboken Ave at Monmouth St
8785,2019,Columbus Drive,JC Medical Center
8786,2019,Columbus Drive,Jackson Square
8787,2019,Columbus Drive,Jersey & 3rd
8788,2019,Columbus Drive,Jersey & 6th St
8789,2019,Columbus Drive,Journal Square
8790,2019,Columbus Drive,Lafayette Park
8791,2019,Columbus Drive,Leonard Gordon Park
8792,2019,Columbus Drive,Liberty Light Rail
8793,2019,Columbus Drive,Lincoln Park
8794,2019,Columbus Drive,Manila & 1st
8795,2019,Columbus Drive,Marin Light Rail
8796,2019,Columbus Drive,McGinley Square
8797,2019,Columbus Drive,Monmouth and 6th
8798,2019,Columbus Drive,Montgomery St
8799,2019,Columbus Drive,Morris Canal
8800,2019,Columbus Drive,Newark Ave
8801,2019,Columbus Drive,Newport PATH
8802,2019,Columbus Drive,Newport Pkwy
8803,2019,Columbus Drive,Oakland Ave
8804,2019,Columbus Drive,Paulus Hook
8805,2019,Columbus Drive,Pershing Field
8806,2019,Columbus Drive,Riverview Park
8807,2019,Columbus Drive,Sip Ave
8808,2019,Columbus Drive,Union St
8809,2019,Columbus Drive,Van Vorst Park
8810,2019,Columbus Drive,Vesey Pl & River Terrace
8811,2019,Columbus Drive,Warren St
8812,2019,Columbus Drive,Washington St
8813,2019,Columbus Drive,York St
8814,2019,Communipaw & Berry Lane,5 Corners Library
8815,2019,Communipaw & Berry Lane,6 Ave & W 33 St
8816,2019,Communipaw & Berry Lane,Astor Place
8817,2019,Communipaw & Berry Lane,Baldwin at Montgomery
8818,2019,Communipaw & Berry Lane,Bergen Ave
8819,2019,Communipaw & Berry Lane,Brunswick & 6th
8820,2019,Communipaw & Berry Lane,Brunswick St
8821,2019,Communipaw & Berry Lane,Christ Hospital
8822,2019,Communipaw & Berry Lane,City Hall
8823,2019,Communipaw & Berry Lane,Columbus Dr at Exchange Pl
8824,2019,Communipaw & Berry Lane,Columbus Drive
8825,2019,Communipaw & Berry Lane,Communipaw & Berry Lane
8826,2019,Communipaw & Berry Lane,Dey St
8827,2019,Communipaw & Berry Lane,Dixon Mills
8828,2019,Communipaw & Berry Lane,Essex Light Rail
8829,2019,Communipaw & Berry Lane,Exchange Place
8830,2019,Communipaw & Berry Lane,Fairmount Ave
8831,2019,Communipaw & Berry Lane,Grand St
8832,2019,Communipaw & Berry Lane,Grove St PATH
8833,2019,Communipaw & Berry Lane,Hamilton Park
8834,2019,Communipaw & Berry Lane,Harborside
8835,2019,Communipaw & Berry Lane,Heights Elevator
8836,2019,Communipaw & Berry Lane,Hilltop
8837,2019,Communipaw & Berry Lane,Hoboken Ave at Monmouth St
8838,2019,Communipaw & Berry Lane,JC Medical Center
8839,2019,Communipaw & Berry Lane,JCBS Depot
8840,2019,Communipaw & Berry Lane,Jackson Square
8841,2019,Communipaw & Berry Lane,Jersey & 3rd
8842,2019,Communipaw & Berry Lane,Jersey & 6th St
8843,2019,Communipaw & Berry Lane,Journal Square
8844,2019,Communipaw & Berry Lane,Lafayette Park
8845,2019,Communipaw & Berry Lane,Liberty Light Rail
8846,2019,Communipaw & Berry Lane,Lincoln Park
8847,2019,Communipaw & Berry Lane,Manila & 1st
8848,2019,Communipaw & Berry Lane,Marin Light Rail
8849,2019,Communipaw & Berry Lane,McGinley Square
8850,2019,Communipaw & Berry Lane,Monmouth and 6th
8851,2019,Communipaw & Berry Lane,Montgomery St
8852,2019,Communipaw & Berry Lane,Morris Canal
8853,2019,Communipaw & Berry Lane,Newark Ave
8854,2019,Communipaw & Berry Lane,Newport PATH
8855,2019,Communipaw & Berry Lane,Newport Pkwy
8856,2019,Communipaw & Berry Lane,Paulus Hook
8857,2019,Communipaw & Berry Lane,Pershing Field
8858,2019,Communipaw & Berry Lane,Riverview Park
8859,2019,Communipaw & Berry Lane,Sip Ave
8860,2019,Communipaw & Berry Lane,Union St
8861,2019,Communipaw & Berry Lane,Van Vorst Park
8862,2019,Communipaw & Berry Lane,Warren St
8863,2019,Communipaw & Berry Lane,Washington St
8864,2019,Communipaw & Berry Lane,York St
8865,2019,Dey St,5 Corners Library
8866,2019,Dey St,Baldwin at Montgomery
8867,2019,Dey St,Bergen Ave
8868,2019,Dey St,Brunswick & 6th
8869,2019,Dey St,Brunswick St
8870,2019,Dey St,Christ Hospital
8871,2019,Dey St,City Hall
8872,2019,Dey St,Columbus Dr at Exchange Pl
8873,2019,Dey St,Columbus Drive
8874,2019,Dey St,Communipaw & Berry Lane
8875,2019,Dey St,Dey St
8876,2019,Dey St,Essex Light Rail
8877,2019,Dey St,Exchange Place
8878,2019,Dey St,Fairmount Ave
8879,2019,Dey St,Glenwood Ave
8880,2019,Dey St,Grand St
8881,2019,Dey St,Grove St PATH
8882,2019,Dey St,Hamilton Park
8883,2019,Dey St,Harborside
8884,2019,Dey St,Heights Elevator
8885,2019,Dey St,Hilltop
8886,2019,Dey St,Jackson Square
8887,2019,Dey St,Jersey & 3rd
8888,2019,Dey St,Jersey & 6th St
8889,2019,Dey St,Journal Square
