year,week,station,anzahl
2016,2,Baldwin at Montgomery,30
2016,2,Bayside Park,2
2016,2,Brunswick St,151
2016,2,Central Ave,15
2016,2,Christ Hospital,37
2016,2,City Hall,46
2016,2,Columbia Park,1
2016,2,Dey St,20
2016,2,Essex Light Rail,115
2016,2,Exchange Place,169
2016,2,Garfield Ave Station,5
2016,2,Grove St PATH,293
2016,2,Hamilton Park,213
2016,2,Heights Elevator,6
2016,2,Hilltop,24
2016,2,JC Medical Center,47
2016,2,Liberty Light Rail,38
2016,2,Lincoln Park,25
2016,2,MLK Light Rail,1
2016,2,McGinley Square,89
2016,2,NJCU,3
2016,2,Newark Ave,94
2016,2,Newport PATH,156
2016,2,Newport Pkwy,84
2016,2,North St,3
2016,2,Oakland Ave,41
2016,2,Paulus Hook,63
2016,2,Pershing Field,50
2016,2,Riverview Park,18
2016,2,Sip Ave,162
2016,2,Union St,2
2016,2,Van Vorst Park,129
2016,2,Warren St,88
2016,3,5 Corners Library,14
2016,3,Baldwin at Montgomery,18
2016,3,Brunswick St,100
2016,3,Central Ave,6
2016,3,Christ Hospital,28
2016,3,City Hall,44
2016,3,Columbia Park,1
2016,3,Dey St,14
2016,3,Essex Light Rail,79
2016,3,Exchange Place,102
2016,3,Garfield Ave Station,4
2016,3,Grove St PATH,191
2016,3,Hamilton Park,121
2016,3,Heights Elevator,7
2016,3,Hilltop,14
2016,3,JC Medical Center,18
2016,3,Liberty Light Rail,24
2016,3,Lincoln Park,11
2016,3,McGinley Square,56
2016,3,NJCU,7
2016,3,Newark Ave,75
2016,3,Newport PATH,87
2016,3,Newport Pkwy,49
2016,3,North St,1
2016,3,Oakland Ave,23
2016,3,Paulus Hook,53
2016,3,Pershing Field,31
2016,3,Riverview Park,10
2016,3,Sip Ave,121
2016,3,Van Vorst Park,87
2016,3,Warren St,42
2016,3,West Side Light Rail,1
2016,4,5 Corners Library,8
2016,4,Baldwin at Montgomery,18
2016,4,Brunswick St,31
2016,4,Central Ave,6
2016,4,Christ Hospital,18
2016,4,City Hall,29
2016,4,Columbia Park,1
2016,4,Dey St,9
2016,4,Essex Light Rail,25
2016,4,Exchange Place,66
2016,4,Garfield Ave Station,1
2016,4,Grove St PATH,110
2016,4,Hamilton Park,73
2016,4,Heights Elevator,6
2016,4,Hilltop,7
2016,4,JC Medical Center,10
2016,4,Liberty Light Rail,19
2016,4,Lincoln Park,13
2016,4,MLK Light Rail,1
2016,4,McGinley Square,47
2016,4,Newark Ave,28
2016,4,Newport PATH,58
2016,4,Newport Pkwy,29
2016,4,Oakland Ave,5
2016,4,Paulus Hook,35
2016,4,Pershing Field,17
2016,4,Riverview Park,6
2016,4,Sip Ave,86
2016,4,Van Vorst Park,71
2016,4,Warren St,34
2016,5,5 Corners Library,28
2016,5,Baldwin at Montgomery,27
2016,5,Brunswick St,137
2016,5,Central Ave,16
2016,5,Christ Hospital,34
2016,5,City Hall,73
2016,5,Columbia Park,2
2016,5,Dey St,15
2016,5,Essex Light Rail,85
2016,5,Exchange Place,149
2016,5,Garfield Ave Station,2
2016,5,Grove St PATH,244
2016,5,Hamilton Park,171
2016,5,Heights Elevator,12
2016,5,Hilltop,26
2016,5,JC Medical Center,31
2016,5,Liberty Light Rail,49
2016,5,Lincoln Park,28
2016,5,MLK Light Rail,5
2016,5,McGinley Square,83
2016,5,NJCU,4
2016,5,Newark Ave,109
2016,5,Newport PATH,135
2016,5,Newport Pkwy,79
2016,5,North St,9
2016,5,Oakland Ave,41
2016,5,Paulus Hook,64
2016,5,Pershing Field,40
2016,5,Riverview Park,9
2016,5,Sip Ave,176
2016,5,Union St,2
2016,5,Van Vorst Park,103
2016,5,Warren St,54
2016,5,West Side Light Rail,3
2016,6,5 Corners Library,13
2016,6,Baldwin at Montgomery,16
2016,6,Brunswick St,116
2016,6,Central Ave,17
2016,6,Christ Hospital,29
2016,6,City Hall,39
2016,6,Columbia Park,1
2016,6,Dey St,13
2016,6,Essex Light Rail,60
2016,6,Exchange Place,74
2016,6,Garfield Ave Station,4
2016,6,Grove St PATH,216
2016,6,Hamilton Park,124
2016,6,Heights Elevator,10
2016,6,Hilltop,13
2016,6,JC Medical Center,18
2016,6,Liberty Light Rail,32
2016,6,Lincoln Park,20
2016,6,MLK Light Rail,2
2016,6,McGinley Square,78
2016,6,NJCU,5
2016,6,Newark Ave,63
2016,6,Newport PATH,92
2016,6,Newport Pkwy,62
2016,6,North St,4
2016,6,Oakland Ave,29
2016,6,Paulus Hook,52
2016,6,Pershing Field,30
2016,6,Riverview Park,9
2016,6,Sip Ave,158
2016,6,Van Vorst Park,109
2016,6,Warren St,34
2016,6,West Side Light Rail,3
2016,7,5 Corners Library,29
2016,7,Baldwin at Montgomery,30
2016,7,Bayside Park,3
2016,7,Brunswick St,135
2016,7,Central Ave,22
2016,7,Christ Hospital,39
2016,7,City Hall,72
2016,7,Dey St,15
2016,7,Essex Light Rail,82
2016,7,Exchange Place,113
2016,7,Garfield Ave Station,3
2016,7,Grove St PATH,214
2016,7,Hamilton Park,165
2016,7,Heights Elevator,11
2016,7,Hilltop,24
2016,7,JC Medical Center,36
2016,7,Liberty Light Rail,59
2016,7,Lincoln Park,21
2016,7,MLK Light Rail,5
2016,7,McGinley Square,87
2016,7,NJCU,6
2016,7,Newark Ave,109
2016,7,Newport PATH,92
2016,7,Newport Pkwy,78
2016,7,North St,12
